"Submitting country","Film title used in nomination","Original title","Language(s)","Director(s)","Result","Result [6]","Title used in nomination","Ceremony"
"Israel","Lemon Popsicle","אסקימו לימון","Hebrew","Boaz Davidson","Not nominated",NA,NA,"/w"
"Italy","Viva Italia!","I Nuovi mostri","Italian","Dino Risi, Ettore Scola and Mario Monicelli","Nominated",NA,NA,"/w"
"Japan","Empire of Passion","愛の亡霊","Japanese","Nagisa Oshima","Not nominated",NA,NA,"/w"
"Kuwait","The Wedding of Zein","عرس الزين","Arabic","Khalid Al Siddiq","Not nominated",NA,NA,"/w"
"Lebanon","Promise of Love","Սիրո Խոստումը","Armenian","Sarky Mouradian","Not nominated",NA,NA,"/w"
"Mexico","The Place Without Limits","El Lugar sin límites","Spanish","Arturo Ripstein","Not nominated",NA,NA,"/w"
"Netherlands","Pastorale 1943","Pastorale 1943","Dutch","Wim Verstappen","Not nominated",NA,NA,"/w"
"Poland","Death of a President","Smierc prezydenta","Polish","Jerzy Kawalerowicz","Not nominated",NA,NA,"/w"
"Soviet Union","White Bim Black Ear","Белый Бим Черное ухо","Russian","Stanislav Rostotsky","Nominated",NA,NA,"/w"
"Spain","Somnambulists","Sonámbulos","Spanish","Manuel Gutiérrez Aragón","Not nominated",NA,NA,"/w"
"Yugoslavia","Occupation in 26 Pictures","Okupacija u 26 slika","Croatian, Italian","Lordan Zafranović","Not nominated",NA,NA,"/w"
"Argentina","The Island","La Isla","Spanish","Alejandro Doria","Not nominated",NA,NA,"/w"
"Austria","Tales from the Vienna Woods","Geschichten aus dem Wienerwald","German","Maximilian Schell","Not nominated",NA,NA,"/w"
"Belgium","Woman in a Twilight Garden","Een vrouw tussen hond en wolf","Dutch","André Delvaux","Not nominated",NA,NA,"/w"
"Bulgaria","The Barrier","Бариерата","Bulgarian","Christo Christov","Not nominated",NA,NA,"/w"
"Canada","A Scream from Silence","Mourir à tue-tête","French","Anne Claire Poirier","Not nominated",NA,NA,"/w"
"China","Effendi","阿凡提","Chinese","Lang Xiao","Not nominated",NA,NA,"/w"
"Czechoslovakia","Those Wonderful Men With A Crank","Báječní muži s klikou","Czech","Jiří Menzel","Not nominated",NA,NA,"/w"
"Denmark","Johnny Larsen","Johnny Larsen","Danish","Morten Arnfred","Not nominated",NA,NA,"/w"
"Egypt","Alexandria... Why?","إسكندرية... ليه؟","Arabic","Youssef Chahine","Not nominated",NA,NA,"/w"
"France","A Simple Story","Une histoire simple","French","Claude Sautet","Nominated",NA,NA,"/w"
"West Germany","The Tin Drum","Die Blechtrommel","German","Volker Schlöndorff","Won Academy Award",NA,NA,"/w"
"Hong Kong","Raining in the Mountain","空山灵雨","Chinese","King Hu","Not nominated",NA,NA,"/w"
"Hungary","Angi Vera","Angi Vera","Hungarian","Pál Gábor","Not nominated",NA,NA,"/w"
"Israel","Moments","רגעים","Hebrew, French","Michal Bat-Adam","Not nominated",NA,NA,"/w"
"Italy","To Forget Venice","Dimenticare Venezia","Italian","Franco Brusati","Nominated",NA,NA,"/w"
"Japan","Gassan","月山","Japanese","Tetsutaro Murano","Not nominated",NA,NA,"/w"
"Netherlands","A Woman Like Eve","Een Vrouw als Eva","Dutch","Nouchka van Brakel","Not nominated",NA,NA,"/w"
"Poland","The Maids of Wilko","Panny z Wilka","Polish","Andrzej Wajda","Nominated",NA,NA,"/w"
"Soviet Union","Autumn Marathon","Осенний марафон","Russian","Georgiy Daneliya","Not nominated",NA,NA,"/w"
"Spain","Mama Turns A Hundred","Mamá cumple cien años","Spanish","Carlos Saura","Nominated",NA,NA,"/w"
"Sweden","A Respectable Life","Ett Anständigt liv","Swedish","Stefan Jarl","Not nominated",NA,NA,"/w"
"Switzerland","Les petites fugues","Les petites fugues","French","Yves Yersin","Not nominated",NA,NA,"/w"
"Yugoslavia","The Man to Destroy","Čovjek koga treba ubiti","Serbo-Croatian","Veljko Bulajić","Not nominated",NA,NA,"/w"
"Austria","Egon Schiele – Exzess und Bestrafung","Egon Schiele - Exzesse","German","Herbert Vesely","Not nominated",NA,NA,"/w"
"Brazil","Bye Bye Brazil","Bye Bye Brazil","Portuguese","Carlos Diegues","Not nominated",NA,NA,"/w"
"Cameroon","Our Daughter","Notre fille","French","Daniel Kamwa","Not nominated",NA,NA,"/w"
"Canada","Good Riddance","Les Bons débarras","French","Francis Mankiewicz","Not nominated",NA,NA,"/w"
"Colombia","The Latin Immigrant","El Inmigrante Latino","Spanish","Gustavo Nieto Roa","Not nominated",NA,NA,"/w"
"Czechoslovakia","Love Between the Raindrops","Lásky mezi kapkami deště","Czech","Karel Kachyňa","Not nominated",NA,NA,"/w"
"Finland","Tulipää","Tulipää","Finnish","Pirjo Honkasalo and Pekka Lehto","Not nominated",NA,NA,"/w"
"France","The Last Metro","Le Dernier métro","French","François Truffaut","Nominated",NA,NA,"/w"
"East Germany","The Fiancee","Die Verlobte","German","Günther Rücker and Günter Reisch","Not nominated",NA,NA,"/w"
